Título,Director,Integrantes,Estado,Tipo de proyecto,Descripción,Institución,Fecha de inicio,Fecha de finalización,Enlace,Código
El origen de la gramática en Occidente: antecedentes y cristalizaciones conceptuales en la época clásica y helenística,"Divenosa, Marisa Graciela",S/D,vigente,UBACYT,"El advenimiento tardío de la tékhne grammatiké en Occidente constituye un fenómeno problemático en el seno de los estudios sobre la historia de las ideas lingüísticas, tanto por la época de su consolidación, como por la revisión y crítica a que ha sido sometida en los estudios contemporáneos. El primer tratado específicamente gramatical data del siglo II a. de C., cuando prácticamente todos los géneros discursivos de las diversas tékhnai habían sido establecidos en Grecia; por otro lado, nuestros tiempos dan cuenta de una actitud doble para con esta disciplina, de un inusitado desarrollo por una parte, y de un cuestionamiento paralelo de sus fundamentos por otro. Por lo tanto, un estudio pormenorizados de los fundamentos de esta disciplina, tal como el que se propone nuestro Proyecto, puede dimensionar adecuadamente su status como ciencia, es decir, el campo de su objeto de estudio y el grado de akríbeia o exactitud de sus afirmaciones frente a los otros ámbitos del saber. E movimiento la invención de la escritura, en un punto que podemos fijar en el  temprano siglo VII a. C., posibilitó la diseminación en diversos discursos particulares de ese conglomerado heredado que Ilíada y Odisea encarnaban por antonomasia, obras de naturaleza oral y de contenido tradicional. Pero a diferencia de las otras disciplinas del lenguaje, el nacimiento de la gramática presenta una relativa oscuridad en lo que a su historia se refiere, es decir, a su emergencia con un discurso propio, más allá de los esporádicos y asistemáticos antecedentes preclásicos o directamente clásicos. Pero el hecho de haber constituido  durante mucho siglos el corpus básico e imprescindible de la formación intelectual de Occidente, y asistir al cuestionamiento de su status en la actualidad ?que también experimentó en sus orígenes, según las críticas de Sexto Empírico (1998)-, genera la necesidad de realizar una aproximación lo suficientemente clara como para ayudar a interpretar las relaciones entre disciplinas ligadas al lenguaje, y también los presupuestos que están implícitos en la polarización ontología-lenguaje, presente en las distintas corrientes filosóficas griegas. Digamos, finalmente, que el advenimiento tardío de la gramática frente a las otras tékhnai que dieron a luz en el siglo V a.C. es explicado por F. Ildefonse (1997) a partir del análisis que el rol del lenguaje desempeñó en la filosofía clásica: su tesis del ?bloqueo lingüístico? será tratada y delimitada en el presente Proyecto.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200230BA
"Sexualidad, feminismo y escritura en la cultura latinoamericana (1950-1990)","Diz, Tania",S/D,vigente,UBACYT,"Este proyecto se propone reflexionar acerca de la lectura, uso y reformulaciones de la teoría feminista foránea en América latina. El punto de partida es que ésta fue leída contemporáneamente en relación a su producción por personas vinculadas al activismo feminista y al mundo de la cultura, más precisamente, el arte y la literatura. Durante la década del 80 se generaron debates en torno a los modelos genéricos que configuraron una importante herencia en la que se respaldaron las polémicas en relación a la sexualidad realizadas durante las décadas siguientes. A partir de esta reflexión, se revisa la noción de identidad sexual vinculada al binarismo y esta ?re-visión? de la diferencia opera tanto en el dispositivo de enunciación teórica del feminismo como en los textos literarios que conforman el corpus elegido. Respecto del arte, se sostiene que las artistas visuales vinculadas al activismo, desarrollaron interrogantes referidos a la heterosexualidad normativa y al ideal de domesticidad que provienen de lecturas de teorías feministas. Respecto de la literatura, se han seleccionado escritores/as que cuestionan no sólo las imágenes cristalizadas de la mujer, sino también, desde donde se construye y se sostiene una determinada enunciación de la diferencia sexual. En síntesis, el proyecto contiene varias líneas de investigación que arman tres ejes: la recepción de la teoría feminista en las revistas culturales y activistas; las expresiones artísticas vinculadas al activismo feminista y la problematización de la sexualidad en determinadas zonas de la literatura latinoamericana.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200075BA
Pensar la literatura: formas de la temporalidad,"Domínguez, Nora Noemí",S/D,vigente,UBACYT,"El mundo actual es multitemporal y dispone experiencias y prácticas heterocrónicas. La literatura y el arte, por definición, anclan en configuraciones espacio-temporales de este tipo que remiten a las condiciones de producción de los textos, a los modos de representación, a las instancias de lectura y valoración, niveles sometidos a variadas disyunciones. Este proyecto se propone estudiar críticamente textos y autores contemporáneos de la literatura argentina y latinoamericana, así como films y fotografías que sirvan a reflexiones sobre: historia y subjetividad, cronologías, acontecimientos y revueltas, crisis y revolución, tradiciones y genealogías, distopías, montajes y anacronismos, supervivencias, ruinas y desechos como marcas y registros de los tiempos desquiciados. Estos ejes se analizarán de acuerdo con dispositivos teórico-metodológicos que tomen el tiempo en su relación con diferentes tipos de espacios. Se entenderá al tiempo como un instrumento de lectura, una ?articulador? (Ludmer) que recorre fronteras, produce trayectos, se aloja en cuerpos y roza dimensiones subjetivas y sociales. El tiempo será analizado en dos niveles superpuestos: en el campo de la teoría y la filosofía y como una categoría narrativa.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100196BA
Discurso autorizado o discurso autoritario: la (re)producción del sentido en la institución escolar,"Dvoskin, Gabriel",S/D,vigente,UBACYT,Discurso autorizado o discurso autoritario: la (re)producción del sentido en la institución escolar,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200084BA
"Sujetos, voces y silencios en el archivo colonial latinoamericano (Siglos XVI- XVII)","El Jaber, Loreley",S/D,vigente,UBACYT,"Nuestro objetivo es el de analizar lo que llamaremos parafraseando a Mazzotti, el relato coral americano y su materialidad, tanto en su vertiente colectiva como individual. Nos interesa poner el foco en las condiciones de posibilidad de esas voces en la América Latina de los siglos XVI y XVII, voces habitualmente desatendidas ?ya sea por su lugar poco estratégico, por su estamento socio-cultural, político o étnico, por su biografía, o bien por aquello que vienen a desnudar; voces y/o relatos que no siempre hallan lugar en el canon escriturario colonial latinoamericano y que el archivo, y el trabajo a realizar sobre y a través de él, permitirá atender en su relevancia y existencia. Nuestra propuesta es trabajar sobre las voces de aquellos alejados de los centros y/o de las posiciones de poder: la plebe, las mujeres, los indios, los mestizos, así como las modulaciones o silencios de aquellos hombres públicos y militares que enuncian o sugieren, condicionados por códigos restrictivos; analizar esta pluralidad de voces y por ende todos estos sujetos, abordar sus discursos, relatos, confesiones o testimonios, interrogar sus marcas, sus faltas y silencios, abordar su discursividad, en suma,  o potencialidad discursiva a través de coordenadas políticas, culturales y también históricas, de tal modo de analizar la posible formación de ciertas subjetividades locales grupales o individuales.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200272BA
Leer lo maravilloso más allá de la anécdota: la construcción cultural del saber literario en talleres de lectura con niños y adolescentes.,"Fernández, Mirta Gloria",S/D,vigente,UBACYT,"En investigaciones anteriores hemos probado la pregnancia del género maravilloso en estudiantes de escuelas primarias y secundarias y de contextos de encierro transitorio (Fernández, 2006a 2014b; Krausse y Etkin, 2017; Vásquez, 2017). Dado este interés, en un crucen entre una orientación socio-cultural (Bajtín, 1999.) y la Literatura Infantil y Juvenil, llevaremos a cabo Talleres de Lectura con niños y adolescentes,  con el fin de estudiar las formas en que el género ?afecta al lector? (Bruner, 1998:16), es decir  cuáles son los elementos que concitan su interés. La conformación del corpus contempla cuentos de tradición oral (Vidal de Battini, 1980-1984) y Libros Álbum (Stoecklè, 1994; Scott, 1999) nacionales de impronta maravillosa. Un álbum se define por presentar un vínculo opaco, a veces surrealista, entre texto e imagen, dando cuenta de una compleja semiosis que testifica su pertenencia a la época actual (Fernández, 2014a: 43). Una primera etapa empírica prevé la construcción de categorías originadas en la lectura y conversación (Bruner, 1998; Bombini, 1997, 2001, 2006)  del investigador con el sujeto lector sobre características de los textos clásicos, como metaficción (Lewis, 1999), estructura canónica, etc.  La segunda fase indaga en las formas de leer los álbumes  antes y después de una mediación destinada a la provisión de categorías elaboradas por el investigador en base a su análisis de los textos y a las conversaciones con los sujetos.  Nos preguntamos si estas herramientas logran  la superación de una lectura impresionista centrada en la historia o anécdota (Todorov, 1970) promoviendo inferencias sobre el discurso (ib) y sobre la constitución cronotópica (Bajtín, 1989) de los géneros (Zipes, 2001). Nuestra hipótesis es que la apropiación (Chartier, 1998) y el disfrute de un texto literario emergen de conocer sus dispositivos formales constitutivos y de descubrir que esta construcción no es aleatoria sino que responde al carácter socio-histórico de los géneros (Bajtín, 1999) como bien se advierte en el maravilloso popular (Vedda, 2010).",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200325BA
Nuevas tecnologías y saberes para el estudio de los textos hispanorromances más antiguos,"Funes, Leonardo","Zubillaga, Carina - Janin, Erica - Saracino, Pablo - Soler Bistué, Maximiliano - Abeledo, Manuel - Hamlin, Cinthia - Alcatena, María Eugenia - Miranda, Florencia - Marti, Melisa - Del Río, María Gimena - Raposo, Claudia- Koch, Jezabel -Campos, Guadalupe - Striker, Gabriela - Calarco, Gabriel - Miguenz, Agustina - Campagno Pizarro, Ileana",vigente,UBACYT,"El presente proyecto se propone como una continuidad en la tarea de edición digital de los poemas en pareados del siglo XIII castellano, los más desatendidos por la crítica especializada del período, en función de la actualidad de las Humanidades Digitales como campo disciplinar en franca expansión y de las posibilidades que ofrecen las nuevas tecnologías y los nuevos saberes críticos para abordar y analizar los textos medievales. El objetivo será completar la edición digital de Razón de Amor, Elena y María, Vida de Santa María Egipciaca y Libro de los tres reyes de Oriente, a partir de los avances realizados en cuanto a su estudio, transcripción paleográfica y fijación textual, además de ampliar el abordaje de la textualidad del período a través de textos en prosa que permitirán considerar a la clerecía letrada castellana como parte de un fenómeno cultural global en consonancia con la promoción y desarrollo de las lenguas vernáculas como vehículos literarios en el resto de la Europa Occidental. El estudio de La Fazienda de Ultramar y Calila e Dimna, Sendebar y Barlaam e Josafat posibilitará, en este sentido, continuar ahondando en las prácticas discursivas y procedimientos –en especial, el fenómeno de la traducción– tendientes a promover el castellano como lengua literaria en la segunda mitad del siglo.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/nuevas-tecnolog%C3%ADas-y-saberes-para-el-estudio-de-los-textos-hispanorromances-m%C3%A1s-antiguos,20020170100031BA
El enfoque dialógico de la argumentación y de la polifonía enunciativa. Descripción e interpretación de la presencia de la subjetividad y de la alteridad en diferentes géneros discursivos para la transferencia a la comunidad educativa y profesional.,"García Negroni, María Marta","Zucchi, Mariano Nicolás - Tosi, Carolina Luciana - Ramirez Gelbes, Silvia - Libenson, Manuel - Caldiz, Adriana Mabel - Montero, Ana Soledad - Hall, Beatriz",vigente,UBACYT,"La subjetividad es indisociable y constitutiva de toda práctica discursiva (aun de aquellas que se presentan como supuestamente objetivas y neutras). Por ello, resulta relevante la indagación acerca de las distintas formulaciones que materializan con mayor o menor grado de explicitud la inscripción de los sujetos en el discurso y la determinación de los efectos de sentido que se producen a partir de ellas más allá de la voluntad y de la intención de un sujeto que supuestamente domina su decir. A través del diseño de nuevas categorías analíticas (marcos enunciativos, marcos de discurso, puntos de vista evidenciales, puntos de vista alusivos, internalización argumentativa, etc.), y en un corpus constituido por diferentes géneros discursivos (académicos, pedagógicos, periodísticos, políticos, literarios, divulgativos, coloquiales), el presente proyecto se propone así describir y explicar, entre otras formulaciones: a) aquellas que plasman los puntos de vista evidenciales (estructuras sintácticas, tiempos verbales, marcadores de discurso, etc.) que se expresan a través de la enunciación y que ponen en evidencia los distintos posicionamientos subjetivos de respuesta; b) aquellas que vehiculizan puntos de vista alusivos (paralelismos morfológicos y sintácticos, reformulación, repetición, truncación, silenciamiento, etc.) y los efectos de sentido asociados en relación con el interdiscurso y la memoria discursiva; c) aquellas que manifiestan la subjetividad en grados diversos (marcas de persona, modalidades enunciativas, subjetivemas axiológicos y afectivos, didascalias, comillas, negaciones, enunciados metafóricos, glosas metadiscursivas, etc.) y los diferentes tipos de ethos proyectados en el discurso; d) aquellas que materializan la alteridad en el discurso (distintos tipos discursos referidos y otras huellas de la heterogeneidad mostrada marcada y no marcada; estrategias de polémica y refutación; procedimientos de designación, denominación, resemantización y renominación, etc.). Simultáneamente, la descripción y análisis de estos fenómenos permitirá elaborar estrategias de intervención pedagógica que, a partir de la desnaturalización del lenguaje, apunten al desarrollo de las competencias lingüísticas y discursivas indispensables para la interpretación y producción de géneros discursivos relacionados con prácticas académicas y profesionales, así como para la corrección y edición de textos escritos.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2018,2020,http://il.institutos.filo.uba.ar/proyecto/el-enfoque-dial%C3%B3gico-de-la-argumentaci%C3%B3n-y-de-la-polifon%C3%ADa-enunciativa-descripci%C3%B3n-e,20020170100146BA
De la oración al texto y viceversa: Las relaciones interoracionales en la construcción del texto y del discurso,"Giammatteo, Mabel",S/D,vigente,UBACYT,"Desde sus inicios nuestro equipo investiga en el área de  gramática y léxico del español, desde las perspectivas teórica y aplicada. Hemos cubierto distintas etapas: 1) diagnóstico de dificultades (1998-2003); 2) diseño e implementación de un programa integral de desarrollo léxico (2004-2007); 3) desarrollo de una propuesta léxico-gramatical orientada a la lectocomprensión (2008-2011); 4) generación del espacio ?Lengua como servicio a otros ámbitos disciplinares?, que permitió el intercambio con otras áreas (2011-2017).En la actual convocatoria, nos proponemos ampliar y consolidar la sistematización del español desarrollada y, dado que hasta ahora nos concentramos fundamentalmente en la oración simple, proyectamos extender sus lineamientos al estudio de estructuras de mayor complejidad, como las oraciones compuestas y complejas, a fin de explicar sus posibilidades e imposibilidades combinatorias para conformar unidades mayores, como párrafos y textos. El objetivo general es desarrollar un planteo integral para el estudio de las relaciones interoracionales en español, que considere las características del habla de la Argentina y permita describir y explicar sistemáticamente la continuidad entre oración y discurso. La investigación interrelacionará varias perspectivas: 1) la perspectiva gramatical se centrará en la delimitación teórica de los fenómenos estudiados, su caracterización formal y semántica, las estrategias de vinculación entre oraciones, las funciones retóricas entre constituyentes, y los valores pragmático-discursivos que estas relaciones originan; 2) la perspectiva de la enseñanza se ocupará de la problemática de las relaciones interoracionales en distintos niveles educativos y de su incidencia en la producción textual; 3) la perspectiva cognitiva, desde un enfoque experimental, indagará la intervención de la prosodia en la comprensión y producción de oraciones compuestas y complejas; 4) la perspectiva comparada se concentrará en los posibles aportes de la gramática de la lengua materna al conocimiento de estructuras comparadas complejas, a su aplicación a la enseñanza de lenguas extranjeras y a la formación de traductores. Este enfoque amplio permitirá completar el estudio teórico y extender sus resultados a distintos ámbitos de aplicación para los que produciremos materiales teóricos y aplicados de formación, capacitación, perfeccionamiento y extensión.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100170BA
Modelo de lectura de textos académicos escritos en inglés como lengua extranjera: géneros discursivos- pasos genéricos- significados interpersonales- tramas argumentativas,"González, María Susana",S/D,vigente,UBACYT,"Este proyecto intenta profundizar la definición y análisis del proceso de lectocomprensión de textos académicos escritos en lengua extranjera ? inglés- con el fin de continuar con el desarrollo de un modelo teórico ? práctico que considera un tipo de lector especial: estudiantes universitarios de la Facultad de Filosofía y Letras con un umbral bajo o nulo de conocimientos de la lengua meta. La lectura se define como un proceso activo de reconocimiento de significados durante el cual el lector asigna sentido al texto y durante este proceso de búsqueda emergen la comprensión y el aprendizaje. Las observaciones áulicas y el trabajo de investigación previo indican que a través de la lectura y con un docente que tiene el rol de facilitador y negociador en la construcción del significado de un texto, es posible favorecer en los estudiantes lectores el desarrollo de estrategias que les permitan abordar los textos académicos, adquirir léxico específico de este tipo textual y conocimientos sobre la funcionalidad de distintos tipos de secuencias que constituyen el entramado de los textos lo que favorece y acelera el procesamiento de la información. En el caso particular de este proyecto se analizará el impacto del conocimiento de los pasos genéricos de los diferentes subgéneros de textos académicos y de las tramas argumentativas en la comprensión lectora de artículos de investigación pertenecientes al área de las humanidades. También se estudiará la influencia de la selección de procesos mentales y verbales que realiza el investigador para introducir diferentes posturas. Los resultados obtenidos serán valiosos para el desarrollo de materiales didácticos que sirvan como andamiaje para la comprensión lectora y reformulación final en lengua materna",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100304BA
El papel de la traducción en la emergencia de la literatura vernácula: el caso de Berceo y la materia religiosa,"Hamlin, Cinthia María",S/D,vigente,UBACYT,"El proyecto se propone contribuir al estudio del papel que juega la traducción en la emergencia de las literaturas vernáculas durante la Edad Media tomando como corpus principal de análisis los textos del poeta riojano Gonzalo de Berceo (ca. 1198 - 1264).Para dar cuenta del aporte que los romanceamientos de Berceo implican en la consolidación de una nueva literatura vernácula, así como de su originalidad, además del cotejo exhaustivo del corpus con sus fuentes latinas -milagros, relatos hagiográficos y también pasajes de himnos y evangelios apócrifos marianos que reelabora e incorpora-, proponemos la comparación y contraste de los procedimientos berceanos con los de las diversas vernacularizaciones de la misma materia en otros ámbitos lingüísticos europeos (las Cantigas de Santa María gallego-portuguesas, los Miracles de Notre Dame en francés antiguo, la Buched Meir Wyry -Vida de la Virgen María- en galés medio, entre otros). En efecto, la materia mariana y hagiográfica, dada su amplia difusión en toda Europa, resulta un valioso objeto para el estudio de la traducción, pues ofrece la posibilidad de cotejar diversas versiones de un mismo relato latino y así advertir los tipos de procesos de traducción y creación  involucrados en las distintas vulgarizaciones. Esto permitiría, por un lado, distinguir la especificidad y/o  originalidad del tipo de romanceamiento berceano y, a la vez, notar puntos de encuentro, continuidades y rupturas respecto de los métodos de traducción en otras zonas de Europa. Este estudio representará, por tanto,una contribución a la historia de la traducción en la Edad Media y a la indagación teórica sobre sus procedimientos.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200027BA
Los lectores y sus modos de leer en la Argentina (1810-1930),"Laera, Alejandra - Batticuore, Graciela",S/D,finalizado,UBACYT,"Este proyecto propone explorar, a lo largo del siglo XIX y hasta los años de 1930, la diversificación progresiva de los modos de leer y, por lo tanto, las figuras de lectores y lectoras en la Argentina. Esos modos de leer, asumidos por diferentes tipos de lectores, se vieron condicionados y afectados por muy distintas razones, desde las circunstancias políticas y económicas hasta la modernización cultural y técnica, junto con los cambios de la propia literatura (géneros, temas, estilos), es decir tanto por razones literarias específicas como por razones heterónomas pero determinantes. Además, esos modos de leer dieron, en los individuos, a experiencias que modelaron sus vidas o que los iniciaron en la escritura, pero que casi siempre impactaron en los modos de mirar, de percibir y de valorar el mundo.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,20020150100204BA
Formas y efectos del erotismo en la literatura latinoamericanacontemporánea,"Lespada, Gustavo","Adur, Lucas -  de los Santos, María Belén -  Espiño, Gabriel -  Ferro, Roberto -  Jitrik, Noé - López, Silvana - Noya, Elsa - Pascuzzo, Denise - von der Pahlen, Marina ",vigente,UBACYT,"El proyecto se dedicará al estudio de las diferentes manifestaciones del erotismo, el deseo y la sexualidad no sólo en la narrativa latinoamericana contemporánea sino también en registros poéticos, desde comienzos del siglo XX hasta la actualidad, teniendo en cuenta tanto los enfoques teóricos tradicionales, incluidos los aportes del psicoanálisis y la filosofía como los más recientes sobre las problemáticas del género, pero siempre respetando la intangibilidad del texto literario.Aunque aún no se pueda vislumbrar una hipótesis única y global, el objetivo más general de este proyecto consiste en investigar, a través de distintas textualidades y en diferentes momentos históricos, las densidades, los comportamientos y los efectos de las manifestaciones libidinales en la configuración de la cultura latinoamericana contemporánea, con la convicción de que será en los aspectos formales de la escritura donde se realicen los más significativos posicionamientos eróticos-transgresores así como sus determinaciones sociales e ideológicas, antes que en los desarrollos temáticos.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200077BA
Archivo y diagrama de lo viviente (siglo XX),"Link, Daniel - Bentivegna, Diego","Carballar, Diego - Croci, Paula - Cherri, Leonel - Díaz, Valentín - Donato Biocca, Elena - Groppo, Marcela - Gurian, Maximiliano - Isola, Laura - Ojeda Serrado, Alan - Rosetti, Miguel - Rossini, Carolina - Santana, Eugenia - Walpen, Javier - Wasserman Cortez, Ariel",vigente,UBACYT,"El objetivo general del proyecto es proponer una discusión de la teoría y la metodología del archivo, aplicada a la episteme que denominamos siglo XX y que incluye no sólo sus monumentos literarios sino también documentos musicales, gráficos, urbanísticos, médicos: los protocolos en los que determinadas vidas se han jugado realmente y a partir de los cuales pueden postulares nuevas condiciones de enunciabilidad y de visibilidad para la vida. Sostendremos como hipótesis que, desde Mallarmé, Duchamp y Kafka hasta los escritores beatnik y Thomas Pynchon, el siglo XX propone condiciones (de enunciabilidad y de visibilidad) radicalmente nuevas para la producción de formas de vida. Produce lo común y, para hacerlo, declina todos y cada uno de los universales heredados. Si esas operaciones todavía nos interpelan es porque el siglo XXI, parecería, no ha mostrado hasta ahora sino un gigantesco esfuerzo para olvidar el siglo precedente, para restaurar los trascendentales que caracterizaron el siglo XIX y para capturar lo viviente en un puñado de figuras que aniquilan toda paradoja y toda posibilidad de protesta. La metodología que el proyecto utilizará se deriva, en principio, de la perspectiva de Foucault, para quien la arqueología es la heredera legítima de esa filología muerta y viva al mismo tiempo, una filología bulímica y retardada que no tiene demasiado que decir sobre el mundo o lo hace mal, balbuceando, lentamente, porque se le va el tiempo en tragar y vomitar. No una ciencia del texto, sino un saber de lo que en el texto apenas vive (pero vive todavía). ¿Dónde situar esos saberes de lo muerto-vivo y sus efectos de tangibilidad? El asunto es delicado, porque lo que se juega en la lectura no se mide en términos de distancia: no hay separación posible entre lo que está escrito y lo que vive (y, por lo tanto, lo que lee). De lo que se trata es de una afectación al Tiempo y a los tiempos: una lectura ni cercana ni lejana, sino en cámara lenta, un ralenti (escribió Roland Barthes en S/Z). En ese ralentamiento o rétard aparecerá lo infraleve, lo que en un archivo inscripto en determinados a-priori históricos vive todavía. El corte metodológico se establecerá en relación con determinadas experiencias estéticas que permiten sostener la hipótesis de una nueva episteme para la relación entrecuerpo y escritura.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/archivo-y-diagrama-de-lo-viviente-siglo-xx,20020170100461BA
"Ruinas, vestigios, restos: hacia una definición de una estética de la degradación en la literatura y cultura inglesas","Margarit, Lucas","Montes, Elina - Fernández, Noelia - Lara, Marcelo - Montenegro, Agustín - Vanney, Julieta - Castagnino, María Inés - Lasa, Cecilia - Rivas, Ezequiel - Vilar, Mariano",vigente,UBACYT,"Nuestro trabajo se centrará en la reflexión acerca de las varias nociones de ""ruina"", ""vestigio"" y ""resto"" que van constituyendo una serie de construcciones culturales y sociales a lo largo de la literatura inglesa. Por lo tanto, uno de los primeros puntos a definir es el marco teórico a partir del cual podamos, si no precisar, por lo menos acercarnos a un paradigma conceptual que nos permita reconstruir el sentido de estos términos y su contenido metafórico, no sólo en nuestra contemporaneidad, sino también a lo largo de los períodos que investigaremos. Asimismo, nos interesa establecer una serie de relaciones con la disciplina histórica, las artes plásticas, etc. lo cual nos permitirá debatir estos conceptos desde una perspectiva más amplia y diversa. El tema que proponemos como objeto de esta investigación tiene su origen en muchos de los interrogantes que fueron surgiendo a lo largo de los tres proyectos UBACyT anteriores, los dos primeros centrados en el estudio de los textos utópicos ingleses desde el siglo XVI al XVIII (origen de la publicación de tres volúmenes) y un tercero, todavía en proceso, dedicado a las poéticas inglesas de los periodos isabelino y jacobeo. Desde perspectivas muy diferentes, se impuso, entonces, la pregunta por el presente de las formas arcaicas en las representaciones estéticas. En primer lugar, notamos que el espíritu de todo proyecto utópico descansa en una voluntad de renovación y revisión de las prácticas que regulan la vida comunitaria que presuponen la anulación de la historia y la obturación del pasado que permanece.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/ruinas-vestigios-restos-hacia-una-definici%C3%B3n-de-una-est%C3%A9tica-de-la-degradaci%C3%B3n-en-la,20020170100181BA
Agentividad: causalidad y ejecución. La proyección discursiva de los procesos," Menéndez, Salvio Martín","Plager, Federico - Lacanna, Georgina Analía - Carrizo, Alicia Eugenia - Noblia, Valentina - Ventura, Aniela -  Alvarado, Damián",vigente,UBACYT,"El presente proyecto, que continúa la línea desarrollada en el anterior UBACYT (2014-2017) Nro. 20020130100581BA Transitividad y agentividad: el principio de gradualidad para la explicación semántico-discursiva de los procesos verbales del que parte y depende, apunta a demostrar, como su objetivo central, que la organización gramatical de los procesos está condicionada por la organización estratégica de los discursos. Para esto debemos ampliar la explicación de la agentividad como una de sus propiedades constitutivas. La entendemos (como hace Halliday (1973), Halliday y Mathiessen (2005) con la transitividad) como un concepto que va más allá del agente e incluye todoslos aspectos que se relacionan con quien no solo es origen sino que lleva a cabo el significado del proceso. Hasta el momento planteamos que la agentividad podía entenderse a partir de la combinatoria de dos rasgos [+/agente, +/-ejecutor]. Esto permitía deslindar, desde el punto de vista gramatical, si el que origina y el que ejecuta son o no los mismos. El objetivo del este proyecto plantea explicar que la agentividad se presenta en dos planos co-ocurrentes y complementarios: el gramatical y el discursivo. A partir de ello, nuestras hipótesis de trabajo se proponen demostrar que: 1. La postulación de un principio de gradualidad semántico-gramatical supone desplazamientos semántico-discursivos que lo condicionan; 2. Los desplazamientos ubican en un rol central al sujeto del discurso puesto que es elque habilita y se responsabiliza por estos desplazamientos. 3. La agentividad se desdobla en gramatical y discursiva y esese desplazamiento el que permite ver el alcance que tiene la asignación de la responsabilidad del sujeto discursivo. 4. La agentividad está condicionada discursivamente por el sujeto que produce el discurso y se explica a partir de cómo este jerárquicamente asigna los rasgos de +/- agente, +/-ejecutor. La finalidad de nuestro planteo es proveer una explicación del uso de este recurso (el proceso=base léxica del verbo) como elemento que compone las estrategias discursivas (Menéndez 2000, 2005, 2006) que es la base del análisis del discurso que sostenemos.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2018,2020,http://il.institutos.filo.uba.ar/proyecto/agentividad-causalidad-y-ejecuci%C3%B3n-la-proyecci%C3%B3n-discursiva-de-los-procesos,20020170100434BA
Lenguas indígenas del Gran Chaco y zonas adyacentes. Fenómenos gramaticales y prácticas comunicativas en contextos plurilingües,"Messineo, Cristina",S/D,vigente,UBACYT,"El presente proyecto tiene por objetivo dar continuidad, ampliar y profundizar los estudios sobre de las siguientes lenguas indígenas de la región del Gran Chaco y zonas adyacentes: toba (tronco guaycurú), chorote y maká (tronco mataguayo), y guaran...",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2019,S/D,20020160100106BA
"Enfermedad, monstruosidad y biopolítica en la literatura latinoamericana","Ostrov, Andrea",S/D,vigente,UBACYT,El proyecto se propone estudiar las narrativas de la enfermedad de fines del siglo XX y comienzos del XXI en la literatura latinoamericana bajo la hipótesis de que  el cuerpo enfermo se propone como locus de configuración e inscripción de subjetividades disidentes y contestatarias respecto de los requerimientos de funcionalidad y productividad de las sociedades posindustriales. Frente a los discursos estigmatizantes (de los que a menudo se hizo cargo la novela naturalista del siglo XIX)  los textos que nos proponemos abordar proponen una revalorización positiva de la patología en tanto constituyente subjetivo que amplía necesariamente la dimensión identitaria del sujeto enfermo.,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100156BA
